Prodoucts,Quantity,Price
Groundnut Oil,5 liter/3 liter/1 liter/500ml,1575/945/315/165
Sesame Oil,1 liter/500ml/250ml,525/265/145
Coconut Oil,1 liter/500ml/250ml,595/320/165
Olive Oil,100 ml,209
Neem Oil,100 ml,60
Mustard Oil,205 ml,79
Castor Oil,100 Grams / 250ml,65/155
Mahua Oil,500 ml,169
Deepam Oil,,
Health Mix Laddu,1 piece,20
Groundnut Laddu,1 piece,20
Sesame Laddu,1 piece,20
Karuppu Kavuni Laddu,1 piece,20
Karuppu Ulundhu Laddu,1 piece,20
Paitam Paruppu Laddu,1 piece,20
Whole Nuts Laddu,1 piece,30
Kapu laddu,1 piece,20
Ragi laddu,1 piece,20
Thenai laddu,1 piece,20
Pure Natural Ghee,1 Liter/500ml/300gram,1167/642/423
ABC Malt,200 grams,345
Banana Malt,200 grams,345
Raagi malt,500 grams,517
Health Mix Powder,1 kg/500 ml,927/517
Kanji Upma Pongal Mix,500 grams,293
Black Kavuni Kanji Flour,500 grams,317
Multi Millets Dosa Mix,500 grams,217
Karuppu Ulundhu Mix,100 grams/ 500 grams,85/395
Raagi Powder,1 kg,165
Kambu Powder,1 kg,165
Onion Thokku,250 grams,285
Tomato Thokku,250 grams,265
Pirandai Thokku,250 grams,385
Honey Nuts Mix,500 grams,642
Mountain Natural Honey,300 grams/500grams,355/545
Himalayan Salt,1 kg/1.5 kg,125/195
Pirandai Podi,250 grams,285
Murungai Podi,250 grams,265
Karuveppilai Podi,250 grams,235
Bamboo Brush,1 piece,85
Coconut Soap,1 piece,145
Charcoal Soap,1 piece,145
Siyakkai Powder,200 grams,265
nalagumavu,200 grams,385
Premium Hair Oil,250 grams,485
Mulligai Hair Oil,without oil/ with oil,115/385
Naatu Sakarai,1 kg/500grams,155/90
Masala Naatu Sakarai,1 kg/500grams,245/145
Panam Karkandu,500 grams,495
Panam Karkandu,300 grams ,285
Kambuu ribbon pakuda,,
 Thenai muruku,,
thuya mali rice muruku,,
Mango pickle,,
Amala pickle,,
Narthanka pickle,,